draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
71,1.2842544698092284,2.089229406270263,0.683369815294971,-0.0002539915028063214,0.2714957203674336,0.46209089855643004,1552.8736543941493
72,1.1808416110852664,2.351336816403704,0.7137814172708001,-0.00028294877513198235,0.5179860827340452,-0.026275581606431286,1551.5213652865962
73,1.33109267545617,2.211069853040425,0.8086016609822801,-0.00025249792528896146,0.2570898049193143,0.49063305393067513,1552.8054439052348
74,1.1672675051456294,2.2171981059185972,0.7475284089654376,-0.0002578295540167396,0.2913053851828614,0.4228424014296839,1551.9885201239351
75,1.2527977378240476,2.2771760323082253,0.6901715369415053,-0.0002675714280114678,0.2379841440260052,0.5284867220094822,1552.0810141238128
76,1.1863635397829704,2.1603540777038344,0.7034899873095348,-0.00024507731453697547,0.18585576671980902,0.6317676450330145,1552.229876165769
77,1.2308795517112305,2.404092812426917,0.7477521942450452,-0.0002851332956465461,0.4709830714083119,0.06685055516342076,1551.5962911771467
78,1.266500249956794,2.3099541011993425,0.6839862703115048,-0.00028151384535969435,0.271008180719903,0.46305685121810136,1552.0073711145922
79,1.3296801896082924,2.13220533543143,0.7944361470442011,-0.00027204050606346796,0.36395008152639036,0.2789129012449145,1553.0364350195323
80,1.1952181875110497,2.1058545767000276,0.7698033709547324,-0.00023996480667350226,0.1505829002731189,0.7016530777389145,1552.539027504298
81,1.2278049034941245,2.454262050991851,0.7809638347204064,-0.0002634274716640938,0.5320265607294721,-0.05409370298284544,1551.4689350740189
82,1.2281627322111215,2.4048633608662597,0.8050532929675283,-0.00026226737816082655,0.4317416677956237,0.14459877207129057,1551.670272816077
83,1.1737916955840508,2.23147090750146,0.7977403162262459,-0.0002447735726513737,0.26392076049692714,0.47709901673929034,1552.0387765507962
84,1.3363904824944641,2.4902536518764076,0.7461938774161743,-0.00028661400283942274,0.3755309646078439,0.2559679266286039,1551.7588879940956
85,1.3471085972473136,2.2017247834705986,0.7686533390259996,-0.00024854275518150303,0.2859105426875637,0.4335310961728194,1552.8654666627478
86,1.2324506575551768,2.425474904348743,0.8018886451804225,-0.00028351269220447156,0.4689772776991485,0.07082459457117674,1551.593790786633
87,1.3609591666702752,2.3545077361727462,0.7666849758767877,-0.00024475445308807934,0.1511384894493966,0.7005522998917395,1552.3998474091716
88,1.39282280080004,2.284768768555375,0.7386628375539741,-0.0002628373668528246,0.2325432044427136,0.5392667480014065,1552.73079096979
89,1.3979333707558705,2.406216433131884,0.7084363705196756,-0.0002701494743298848,0.16106928237097895,0.6808766162756552,1552.2915191213497
90,1.3672263551861177,2.087699581623667,0.8210336468108462,-0.0002747385855825644,0.5413490632580822,-0.07256419287338,1553.3834346684062
91,1.3958140231522351,2.3137259800083525,0.7058592458633053,-0.0002392582339885097,0.19034657961400206,0.6228700862597223,1552.6284527183298
92,1.2867109534552963,2.087820169050651,0.7802071110958694,-0.0002782688253080692,0.32566880799753745,0.3547588314059956,1552.978490843088
93,1.3176333330300891,2.2231449789988926,0.7995299449197057,-0.0002622980929784068,0.20193793405625146,0.599904364943357,1552.6846358923642
94,1.3485756573498828,2.113971172991849,0.7250550384541629,-0.0002447884342483133,0.40798715396774693,0.19166312052985568,1553.128021966174
95,1.3660183705469902,2.4749026158036846,0.7735185251223257,-0.00026021687733881956,0.25519158546689397,0.4943939585910221,1551.999212536917
96,1.344874451795578,2.367908029411114,0.735383927638563,-0.0002855749506830885,0.17854941120539827,0.6462435827172809,1552.207261593941
97,1.255188522375348,2.0605502413841914,0.724858155531425,-0.00025855001141627675,0.27487004135595633,0.4554054231151893,1552.8888765613156
98,1.2630688562559764,2.2339920732727965,0.7927242193686399,-0.00027768810925277225,0.14910727013707983,0.7045767145441857,1552.3847592957866
99,1.3708039043319893,2.272232337814286,0.8114157448770619,-0.00028027850517377875,0.23809144768759322,0.5282741233869024,1552.7451408521897
100,1.166317742497495,2.369159517559533,0.8211513622081532,-0.00025228797255407223,0.49963130930003274,0.01009036799943308,1551.5502490996628
101,1.2096635364591537,2.2783635558710027,0.7219248706973183,-0.00027063694796775913,0.31837031345489997,0.3692191943023525,1551.921380172682
102,1.3164589438662355,2.2886097576998927,0.8086143834745358,-0.0002793497442748096,0.1507236334872859,0.7013742458049401,1552.447471810599
103,1.2301344109211627,2.0477980596067553,0.7815439766427245,-0.00024023181000869972,0.28115542378187697,0.44295231921955336,1552.9063622114893
104,1.293891281264561,2.1159521853415932,0.6977576360847366,-0.0002700870841945942,0.25201162810206007,0.5006943452285414,1552.8249061523586
105,1.1838717213906331,2.4733868711709763,0.6980010500305202,-0.0002499650510345451,0.7158776603730428,-0.41835425071760834,1551.1264172270921
106,1.2297323006228282,2.0564990625702015,0.747107360076263,-0.0002470900932770264,0.24388639743379528,0.5167927040603969,1552.8279238417808
107,1.1782089949488113,2.4801527135165737,0.8013208102944167,-0.0002530066471953121,0.6763127916022585,-0.33996515868911326,1551.1953026394722
108,1.1972105352536644,2.3672875298490554,0.7835846716624011,-0.0002870773086689487,0.46509382560484774,0.07851880140330414,1551.6153085378735
109,1.3879077395592128,2.383928153333538,0.7437052926461097,-0.00026238082437326387,0.1526162544174314,0.6976244333860554,1552.372932905568
110,1.155573640366395,2.2196800956452725,0.7035296426972254,-0.00023855502388028007,0.33929781163568035,0.32775595603601626,1551.8959873566853
111,1.3517934038863848,2.205311744122159,0.7634512151075974,-0.0002664157040586431,0.27946883983544396,0.4462939146373637,1552.8504188380036
