date,evap_original_mm,evap_candidate_mm
2010-02-12,2.8767272515308697,3.5535741250200017
2010-02-13,2.8964037508552014,3.39989902809753
2010-02-14,3.06066371880689,3.5540888832236353
2010-02-15,3.187566740026196,3.762750484058112
2010-02-16,2.7516906470776017,3.3136134744143964
2010-02-17,3.063213077771572,3.5398184671157376
2010-02-18,2.918151148960736,3.320512006940613
2010-02-19,2.768098521261998,3.325576898263806
2010-02-20,2.95445788971198,3.6522064668419985
2010-02-21,3.1664346793656897,3.696581702708803
2010-02-22,3.087825536421192,3.7575851559238886
2010-02-23,3.062121205888114,3.836187465665577
2010-02-24,2.9468082209432414,3.776434049462538
2010-02-25,3.246289182703552,4.001008357254971
2010-02-26,2.5725572227818274,3.488471929651428
2010-02-27,2.925758785208748,3.749230364197872
2010-02-28,3.079798515873289,3.826025590055643
2010-03-01,3.152718214001858,4.02305175941463
2010-03-02,2.8265471511087537,3.7031170972350016
2010-03-03,2.827842920334885,3.9472867775312896
2010-03-04,3.120544951211016,3.715563661909629
2010-03-05,3.1052276773272824,3.694011945612335
2010-03-06,3.1046250165722893,3.9567655574498355
2010-03-07,3.280182975291644,3.8086041313288566
2010-03-08,3.3129351644890184,3.8086730514540177
2010-03-09,2.699204129494382,3.767173855354775
2010-03-10,3.018279882598394,4.29882411682453
2010-03-11,2.790043822219708,3.982949195070307
2010-03-12,2.6848448239151854,4.100550638157577
2010-03-13,2.475444380813766,3.981783361251547
2010-03-14,2.549812972456166,3.6776046128735205
2010-03-15,2.8647016110873142,4.161810221687066
2010-03-16,2.537759974611664,3.8177048074297923
2010-03-17,2.8098136974150387,3.577352343579206
2010-03-18,3.8580812592104095,3.6885710818379733
2010-03-19,4.32567169976071,4.0941063805467195
2010-03-20,3.4881089766083315,3.509572171283957
2010-03-21,3.571399100169565,3.9020398932754214
2010-03-22,3.733282033385993,3.9351122011891126
2010-03-23,4.05778450728434,4.248305187512253
2010-03-24,3.3857783136528314,4.04900068430409
2010-03-25,3.515732321268392,4.209818514072989
2010-03-26,3.0387682851410345,3.7557216441580037
2010-03-27,3.35626458944066,4.300110036118691
2010-03-28,3.0770275476636244,3.9993592402845923
2010-03-29,3.189844131233302,3.559763599944477
2010-03-30,3.288721826285328,3.651464362149021
2010-03-31,3.561922688497228,3.9700865517249326
2010-04-01,3.434787370187852,4.076172102407388
2010-04-02,3.920859594128094,3.829133052450084
2010-04-03,3.916963014758063,3.6159957700797634
2010-04-04,3.579614674400915,3.628001090045562
2010-04-05,3.359840339365995,3.5055766028370723
2010-04-06,3.3206456447879606,3.243009847575706
2010-04-07,3.673522442413133,3.5935408873115926
2010-04-08,4.0176094095917545,3.730288177293432
2010-04-09,4.54506186742853,3.946107537316655
2010-04-10,4.9081311272025925,4.21705222161661
2010-04-11,4.984691520229519,4.086287933928876
2010-04-12,4.776081285961803,4.094066287832414
2010-04-13,4.207193547153708,3.753318597638847
2010-04-14,4.423561320667304,3.8842701306408083
2010-04-15,3.8687260206437344,3.4942767220596913
2010-04-16,4.238871837555596,3.7360871171341423
2010-04-17,4.72116021768511,4.073852333523643
2010-04-18,4.821382793653789,4.197081261496229
2010-04-19,4.442936904555887,4.052008549610283
2010-04-20,5.189502030278765,4.39818455454916
2010-04-21,4.136861623049192,3.814208147674342
2010-04-22,4.117080781250987,3.973614255114205
2010-04-23,4.638532025653288,4.23764477991517
2010-04-24,4.75734973719302,4.364991252773905
2010-04-25,4.622394829272815,4.347469259021975
2010-04-26,3.812677250123914,3.6779209990939794
2010-04-27,4.089222346331867,3.858688236451692
2010-04-28,3.627720010973271,3.474368394459765
2010-04-29,2.216580745605928,2.00956344443292
2010-04-30,4.147056217814955,4.0646893249434015
2010-05-01,3.4792687748694604,3.1089702265634895
2010-05-02,4.237100770329581,4.056405761449419
2010-05-03,4.295239391166391,4.117170983574786
2010-05-04,4.636415634240386,4.070806049271713
2010-05-05,4.353955630085226,3.705162036499875
2010-05-06,4.85628731325141,3.9811695080292804
2010-05-07,4.7894685719270855,4.0450854376316965
2010-05-08,4.800410328615029,4.113081111673817
2010-05-09,5.108745588951362,4.237639073919935
2010-05-10,5.546361288634061,4.3918832954689755
2010-05-11,5.151560180221476,4.177267510724442
2010-05-12,4.398557870276592,3.94448699999404
2010-05-13,4.421006524727695,4.163858772770393
2010-05-14,3.985555642835579,3.771982357778475
2010-05-15,4.051278356469108,3.7325397049160736
2010-05-16,4.264487156494302,3.9092966745442133
2010-05-17,4.085934824768716,3.7848326680430873
2010-05-18,3.8436623553763023,3.394463596551042
2010-05-19,4.158224515923607,3.8921811578312653
2010-05-20,4.034008618322797,3.7343707943037114
2010-05-21,3.823842865288718,3.685234024717567
2010-05-22,4.215854990869556,3.8897544871032554
2010-05-23,4.00499537536047,3.6556205454951165
2010-05-24,3.231603504473257,2.847131298342755
2010-05-25,2.882757664244386,2.745450715101553
2010-05-26,3.020912672410597,2.9113483240240527
2010-05-27,2.307132554222953,2.216175127305672
2010-05-28,2.265036079751433,2.1019941391950083
2010-05-29,1.4986156567445548,1.6051064330619451
2010-05-30,3.640820884895008,3.648992889211283
2010-05-31,3.793810393603752,3.6203090130311666
2010-06-01,3.973026244739776,3.760659490854845
2010-06-02,3.920506233090653,3.7373409984651396
2010-06-03,3.654090243537062,3.6234161266783107
2010-06-04,2.682743898367647,2.5176206327999195
2010-06-05,4.322574555388241,4.169121564012679
2010-06-06,4.092771613468795,3.9000393821283863
2010-06-07,4.5502561641342645,3.871134937270462
2010-06-08,4.295768640379503,3.8693660172562514
2010-06-09,3.704113726013724,3.318698832084685
2010-06-10,4.022955924822066,3.73350262314585
2010-06-11,3.7009177464308096,3.5229678410101894
2010-06-12,3.2196844221886702,2.874860734899129
2010-06-13,2.460319562423751,2.1850048746253217
2010-06-14,3.77153347870958,3.515394210242052
2010-06-15,4.222364930074988,3.807940333440392
2010-06-16,3.449209470551072,3.016236963392881
2010-06-17,3.12973405945388,2.9260441993344157
2010-06-18,3.1006381827794773,2.722113931403263
2010-06-19,4.230237959709983,3.6691379894680214
2010-06-20,4.096520148492443,3.497961333329699
2010-06-21,4.074296155244777,3.482025568337831
2010-06-22,3.65739341307668,3.2225440576352815
2010-06-23,4.295375870658951,3.8611266935596995
2010-06-24,4.088873612354182,3.674590943199065
2010-06-25,4.088660008809169,3.763189620506849
2010-06-26,2.5795739164853893,2.452231152442322
2010-06-27,2.194073194187409,2.1274206347817306
2010-06-28,2.7609257439653017,2.3882788307142437
2010-06-29,2.831144017162597,2.616755632175681
2010-06-30,3.172641540166649,2.826212672797803
2010-07-01,3.969421340264444,3.830260442367618
2010-07-02,4.386543896924673,4.112008244265251
2010-07-03,3.708325906322812,3.514845619466337
2010-07-04,3.874648129168137,3.6149228489842544
2010-07-05,4.114940575616335,3.880000299975487
2010-07-06,4.177279176117012,3.8192160487868283
2010-07-07,2.940432510401025,2.68397709225997
2010-07-08,3.642847788668722,3.3667948096512816
2010-07-09,3.7701445588551294,3.439322843825379
2010-07-10,3.5717477223246417,3.2360485408598003
2010-07-11,3.992614240463868,3.548263671101235
2010-07-12,3.5163764210855573,3.300217775419954
2010-07-13,3.4662689598305967,3.017413393921349
2010-07-14,4.198714796019204,3.748300423848611
2010-07-15,4.712733173324355,3.9899131741240135
2010-07-16,4.276584303501744,3.719531355858219
2010-07-17,3.7728377648247458,3.3884239462944414
2010-07-18,2.804189233515112,2.616716249321284
2010-07-19,2.6551126047176523,2.4781455094910063
2010-07-20,3.312495390135367,3.2103193290747356
2010-07-21,3.3815380035680724,3.3488045479718638
2010-07-22,3.2303609516260763,3.1690782555425656
2010-07-23,3.9171868221160167,3.8054162260008204
2010-07-24,3.93844699314564,3.7763312478520836
2010-07-25,4.190604910126681,3.7661634621825755
2010-07-26,2.9406494462597434,2.8674918635370066
2010-07-27,3.157218229696538,2.8848979700253192
2010-07-28,4.58323376454528,3.9865649789780115
2010-07-29,4.459619269695126,3.7791093379747913
2010-07-30,3.903355853596948,3.3408146158420093
2010-07-31,3.3793283808548296,3.082131974841183
2010-08-01,3.775017123547979,3.5050189116863724
2010-08-02,4.367866843306232,3.816176505308449
2010-08-03,2.417277796337729,2.1490350115535732
2010-08-04,3.604388132046007,3.5239241787253093
2010-08-05,3.936601316278376,3.737928740092011
2010-08-06,3.7261082265225736,3.4698262521372665
2010-08-07,3.8479882353153183,3.7473204559009683
2010-08-08,3.9614145100870735,3.7433132853331568
2010-08-09,3.898590761612251,3.7147627889763246
2010-08-10,3.930401774267085,3.83743610028065
2010-08-11,3.764878442482209,3.5571827208781666
2010-08-12,3.9099744636098985,3.735390267261418
2010-08-13,4.255734966336199,4.0435248168096045
2010-08-14,2.95432373373346,2.7267204438689836
2010-08-15,3.953435520544061,3.686664725776296
2010-08-16,3.7730110371501326,3.4648715782429984
2010-08-17,4.013103196528415,3.595303107969615
2010-08-18,3.333164484433408,3.0366666892540866
2010-08-19,3.794850470852842,3.5048084687928673
2010-08-20,2.9799244230801616,2.746978582205112
2010-08-21,3.2426302846821464,3.052219451809333
2010-08-22,2.569234113673813,2.474821248683975
2010-08-23,2.6198958843869784,2.461299330986502
2010-08-24,3.427459123523628,3.3135587277257823
