model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
ACCESS-ESM1-5,tasmax,0.25,19.459682347173867,21.783313255101625,2.3236309079277575,11.940744285916974
ACCESS-ESM1-5,tasmax,0.5,20.219715939076544,22.730548445904866,2.510832506828322,12.417743722976331
ACCESS-ESM1-5,tasmax,0.75,21.15149426054363,23.8050694116478,2.653575151104171,12.54556826301486
ACCESS-ESM1-5,tasmax,0.9,22.202173256976607,24.986566495634843,2.784393238658236,12.541084183203974
ACCESS-ESM1-5,tasmax,0.95,22.940708978444693,25.808566751115332,2.8678577726706393,12.501173243448168
ACCESS-ESM1-5,tasmax,0.99,24.19964496694552,27.30204341200534,3.102398445059819,12.820016365105392
ACCESS-ESM1-5,rh,0.01,54.24143437771188,59.37075215574171,5.129317778029829,9.456456741744084
ACCESS-ESM1-5,rh,0.05,60.72498947629099,64.64976289676186,3.9247734204708635,6.463193249301793
ACCESS-ESM1-5,rh,0.1,64.51737287922357,68.02901838542334,3.51164550619977,5.442945596643504
ACCESS-ESM1-5,rh,0.25,71.44038562554204,74.15419272125744,2.71380709571541,3.7987016334709485
ACCESS-ESM1-5,rh,0.5,79.06523449541791,83.70441739025013,4.639182894832217,5.867538273223072
ACCESS-ESM1-5,rh,0.75,86.61181384245056,88.26409511878842,1.6522812763378596,1.9076858029360844
ACCESS-ESM1-5,rh,0.9,91.60414646206316,90.47465996247172,-1.1294864995914367,-1.2330080495419506
ACCESS-ESM1-5,rh,0.95,93.54094944239945,91.88150484470721,-1.659444597692243,-1.7740300986725541
ACCESS-ESM1-5,rh,0.99,96.10186713446025,94.65044497380491,-1.4514221606553406,-1.5102954853359858
ACCESS-ESM1-5,shortwave,0.01,8.123637298959586,15.677731654649078,7.554094355689491,92.98906484484434
ACCESS-ESM1-5,shortwave,0.05,12.362643611951848,17.16732077084401,4.804677158892163,38.86448003926231
ACCESS-ESM1-5,shortwave,0.1,14.294086126913156,17.86150301357582,3.5674168866626648,24.95729251236195
ACCESS-ESM1-5,shortwave,0.25,16.740133504729148,19.109107244372762,2.3689737396436144,14.151462644992472
ACCESS-ESM1-5,shortwave,0.5,19.14489942046432,20.662520746750133,1.5176213262858127,7.927026896070295
ACCESS-ESM1-5,shortwave,0.75,21.47965527773001,22.408861704741934,0.9292064270119234,4.325983890324904
ACCESS-ESM1-5,shortwave,0.9,23.61945787306535,23.96934758164703,0.3498897085816779,1.4813621483695338
ACCESS-ESM1-5,shortwave,0.95,24.823127847501073,24.782423794585686,-0.04070405291538748,-0.16397632548746321
ACCESS-ESM1-5,shortwave,0.99,26.853095109922613,26.274215072057512,-0.5788800378651011,-2.1557292948744537
ACCESS-ESM1-5,longwave,0.01,26.889406656990545,25.279027440589783,-1.6103792164007622,-5.988898293455298
ACCESS-ESM1-5,longwave,0.05,28.27366862738607,26.489102418673156,-1.7845662087129135,-6.311760359900274
ACCESS-ESM1-5,longwave,0.1,29.013446756577814,26.945546475730023,-2.067900280847791,-7.127385788380917
ACCESS-ESM1-5,longwave,0.25,30.238961359415303,27.757550332991805,-2.4814110264234976,-8.206006141976426
ACCESS-ESM1-5,longwave,0.5,31.45313495571797,28.58748471199411,-2.8656502437238593,-9.110857304870665
ACCESS-ESM1-5,longwave,0.75,32.26054012532244,29.094103377145235,-3.166436748177208,-9.815200662718475
ACCESS-ESM1-5,longwave,0.9,32.80311042321582,29.431632781602204,-3.371477641613616,-10.277920593857807
ACCESS-ESM1-5,longwave,0.95,33.08532702089423,29.609781468605917,-3.4755455522883167,-10.504794315901488
ACCESS-ESM1-5,longwave,0.99,33.60379732077386,29.94957626962731,-3.6542210511465463,-10.874428911304937
ACCESS-ESM1-5,wind,0.01,0.12362079876653172,1.1788118000369254,1.0551910012703938,853.5707678634328
ACCESS-ESM1-5,wind,0.05,0.21661594904492043,1.4235149787749097,1.2068990297299893,557.1607423420656
ACCESS-ESM1-5,wind,0.1,0.28935312804449365,1.5917944215034525,1.3024412934589589,450.1217257477456
ACCESS-ESM1-5,wind,0.25,0.4523419982740058,1.925251436363804,1.4729094380897982,325.6185460801684
ACCESS-ESM1-5,wind,0.5,0.7499348093163911,2.448229415169179,1.698294605852788,226.4589648000046
ACCESS-ESM1-5,wind,0.75,1.1569305560826137,3.3557570237931005,2.1988264677104867,190.05691017062858
ACCESS-ESM1-5,wind,0.9,1.5341475522071901,4.717773496388087,3.183625944180897,207.5175845765676
ACCESS-ESM1-5,wind,0.95,1.7712679477171462,5.6654192613122225,3.894151313595076,219.85105746501844
ACCESS-ESM1-5,wind,0.99,2.290385645051189,7.3867596270347535,5.0963739819835645,222.51161034803215
CMCC-ESM2,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
CMCC-ESM2,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
CMCC-ESM2,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
CMCC-ESM2,precip_consensus,0.25,0.36593424518266227,0.020521219161418,-0.34541302602124424,-94.39210201516546
CMCC-ESM2,precip_consensus,0.5,2.2381017066336617,1.6885145019155883,-0.5495872047180734,-24.555953069027854
CMCC-ESM2,precip_consensus,0.75,8.251458253782918,11.34378211839949,3.0923238646165725,37.476089310624374
CMCC-ESM2,precip_consensus,0.9,14.360511428963337,19.16496573038949,4.804454301426153,33.45601112601168
CMCC-ESM2,precip_consensus,0.95,18.3865296573891,23.92893756732162,5.542407909932518,30.143849944544364
CMCC-ESM2,precip_consensus,0.99,27.626554028149616,34.58243430567691,6.955880277527296,25.178240726077227
CMCC-ESM2,tas,0.01,13.562005271069761,12.918657543411692,-0.6433477276580692,-4.7437507566115436
CMCC-ESM2,tas,0.05,14.648812302124492,14.523197920335468,-0.12561438178902407,-0.8575055724538598
CMCC-ESM2,tas,0.1,15.102207967988353,15.555922077783492,0.4537141097951398,3.0042899075212213
CMCC-ESM2,tas,0.25,15.737775453943096,16.87055371393925,1.1327782599961527,7.19782959994092
CMCC-ESM2,tas,0.5,16.308847934518468,17.702123990084978,1.3932760555665098,8.54306853041148
CMCC-ESM2,tas,0.75,16.865925052617698,18.45036009908376,1.5844350464660621,9.394296734528343
CMCC-ESM2,tas,0.9,17.407313362279044,19.225941108745324,1.8186277464662801,10.447492433882267
CMCC-ESM2,tas,0.95,17.745614703974663,19.744625904521026,1.999011200546363,11.264818006550229
CMCC-ESM2,tas,0.99,18.484926735967406,20.8792778140209,2.394351078053493,12.952991982351964
CMCC-ESM2,tasmin,0.01,9.542661946133531,5.135977913278071,-4.40668403285546,-46.17877126665844
CMCC-ESM2,tasmin,0.05,10.947149455496104,7.769327849508006,-3.1778216059880986,-29.02875875502593
