model,scenario,horizon,level_mean_m,level_end_m,change_mean_vs_anchor_m,change_end_vs_anchor_m,cum_P_end_m,cum_E_end_m,cum_Q_end_m,cum_S_end_m
EC-Earth3,ssp585,2030,1553.0803843790443,1552.9267219045664,0.31038437904430793,0.15672190456643875,0.3766855305374495,0.03108380935851229,-0.38346454773147504,0.13241711240192763
EC-Earth3,ssp585,2050,1550.8481340388978,1551.3249980665487,-1.9218659611021849,-1.4450019334512945,0.5824303018909347,0.25578983499326813,-2.415639182737416,0.13241711240194207
EC-Earth3,ssp585,2090,1541.264456888447,1541.167949040515,-11.505543111552925,-11.602050959485041,-6.057667974173826,2.6985229678337124,-8.375323065546933,0.13241711240197093
GFDL-ESM4,ssp245,2030,1552.8937809943516,1553.177843678927,0.12378099435159129,0.4078436789270654,0.4991058857836654,0.15837619597557406,-0.38205551523414466,0.13241711240192763
GFDL-ESM4,ssp245,2050,1550.3458500143256,1550.748060554453,-2.424149985674376,-2.0219394455468773,-0.13253069793170666,0.5505645166933311,-2.5723903767103646,0.13241711240194207
GFDL-ESM4,ssp245,2090,1542.639156466322,1542.6196959125377,-10.13084353367799,-10.150304087462246,-3.76883916937758,1.7324595349965046,-8.246341565483236,0.13241711240197093
GFDL-ESM4,ssp585,2030,1552.2932345667139,1552.9069379781538,-0.4767654332861184,0.13693797815381004,0.10567011013397151,0.10792289714824524,-0.20907214153022283,0.13241711240192763
GFDL-ESM4,ssp585,2050,1548.261595590224,1548.5282696998313,-4.508404409775949,-4.241730300168683,-2.134506812457495,0.6028931131995275,-2.8425337133127306,0.13241711240194207
GFDL-ESM4,ssp585,2090,1530.3636025938135,1530.1947234491865,-22.406397406186443,-22.57527655081344,-15.067054307613251,2.860086919029757,-10.500726274632418,0.13241711240197093
GISS-E2-1-G,ssp245,2030,1552.0447663835664,1552.1367543117906,-0.7252336164335702,-0.6332456882093993,-0.25714550653685153,0.06771088932480346,-0.5762281833993491,0.13241711240192763
GISS-E2-1-G,ssp245,2050,1547.780239292591,1547.997957474851,-4.989760707409005,-4.7720425251488905,-2.4380485740579876,0.7523374354147669,-3.218748498907493,0.13241711240194207
GISS-E2-1-G,ssp245,2090,1535.2075041959304,1535.2178329886963,-17.562495804069613,-17.55216701130371,-10.86239900298032,2.7955731749743817,-9.617758295699728,0.13241711240197093
